PART NUMBER	NAME	MAKE/MODEL	CATEGORY
31230-60201	Release Bearing(0.25)	LAND CRUISER 79	Genuine
13711-30040	Intake Valve	2KD	Taiho
48674-26040	Control Arm Bush	7L	OSK
90201-12019	Knucle washer	LAND CRUISER 70 Series	Genuine
13101-54101	Piston	3L	Taiho
CTX-084	Pressure Plate	LAND CRUISER 75 Tourist	Japan(Aisin)
04234-68010	Fuel Filter	Prado 1KD	OSK
48702-60050	Big Arm bush	LAND CRUISER 79	Genuine
90915-03002	Oil Filter	7L	Digue
33037-60050	Synchronizer ring (No 2)(0.25)	LAND CRUISER 79	Genuine
13568-19195	Timing Belt	LAND CRUISER 79	Genuine
90942-02083	Wheel stand	LAND CRUISER 79	Digue
SB-3972	Ball joint	7L	Taiho
15122-54020	Oil Gear	7L	Genuine
90311-42036	Seal(Front timing seal)	7L	Genuine
220-40582	Clutch kit Lower	5L/3L	GMB Japan
13711-54040	Exhaust Valve	HIACE 3L/79(IHZ)	Genuine
LM48548/10	wheel bearing(STD)	5L/3L	Koyo japan
90385-11021	Rear Link Bush/eye Bush	LAND CRUISER 79	555(Japan)
48511-69435	Shock Absorber(Front long)	7L	Genuine
90561-30005	Spacer	LAND CRUISER 70 Series	Genuine
12303-72010-IN	Gear Mounting	3L/5L	All Parts
CTX--064	Pressure Plate	LAND CRUISER 70 Series	Aisin
31210-36330	Pressure Plate	LAND CRUISER 79	All Parts
43521-60011	Stopper axle nut	LAND CRUISER 79	Aisin
4094w	Axle bearing(with con)	LAND CRUISER 70 Series	Koyo japan
48674-26040	Control Arm Bush(STD)	7L	Genuine
M720AI	Main Bearing(STD)	7L	Taiho
23380-17451	Feed Pump	7L	Genuine
M729AI	Main Bearing(0.25)	1TR/2TR	All Parts
13101-54101	Piston	5L/3L	Genuine
15121-54020	Oil Gear	3L/5L	OSK
04493-60300	BMC kit	1HZ	Genuine
R039A	Con bearing(0.25)	7L	Taiho
17567-61030	Exhaust Mountain	LAND CRUISER 79	OSK
90385-13009	Front Link Bush/ Eye Bush	LAND CRUISER 79	GMB Japan
CTX--064	Pressure Plate	5L/3L	OSK
90363-35020	Gear bearing	LAND CRUISER 79	OSK
90501-08212	Compression Spring	LAND CRUISER 79	GMB Japan
SE-2752	Tie Rod	LAND CRUISER 79	Koyo japan
17801-17020	Air filter	LAND CRUISER 70 Series	Genuine
69058-60141	Fuel cap	LAND CRUISER 79	OSK
GWT-91A	Water Pump	LAND CRUISER 79	Taiho
90311-85009	Seal(Rear crunk shaft)	3L/5L	555(Japan)
90311-48022	Seal (Gear transfer Front seal)	LAND CRUISER 79	Digue
M729AI	Main Bearing(0.50)	1TR/2TR	GMB Japan
90389-22003	Rear Spring Bush	LAND CRUISER 79	555(Japan)
R720AI	Con Bearing(STD)	Prado 1KD	Taiho
48702-60050	Big Arm bush	5L/3L	Genuine
13568-19195	Timing Belt	5L/3L	Genuine
R729A	Con Bearing(0.50)(STD)	1TR/2TR	Taiho
90215-42025	Stopper axle Washer	LAND CRUISER 79	MK
